City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
upernavik,72.7868,-56.1549,255.81,93,92,6.97,GL,1681159727
tuktoyaktuk,69.4541,-133.0374,262.15,85,100,3.09,CA,1681159728
saint-philippe,-21.3585,55.7679,296.92,84,100,3.91,RE,1681159728
atuona,-9.8,-139.0333,300.44,80,16,7.53,PF,1681159729
tromso,69.6496,18.957,274.16,86,0,2.57,NO,1681159729
severo-kurilsk,50.6789,156.125,272.46,83,99,17.6,RU,1681159730
vao,-22.6667,167.4833,298.79,79,2,2.96,NC,1681159730
san patricio,28.017,-97.5169,299.12,64,96,2.96,US,1681159731
klyuchi,52.2667,79.1667,277.59,50,67,4.53,RU,1681159731
hermanus,-34.4187,19.2345,285.26,69,99,3.98,ZA,1681159732
nuuk,64.1835,-51.7216,277.49,70,20,2.57,GL,1681159733
mount gambier,-37.8333,140.7667,282.36,95,81,1.73,AU,1681159733
hithadhoo,-0.6,73.0833,301.1,67,12,1.4,MV,1681159733
sao felix do xingu,-6.6447,-51.995,299.13,88,45,0.41,BR,1681159734
mareeba,-17.0,145.4333,295.62,93,73,0.61,AU,1681159734
leningradskiy,69.3833,178.4167,251.83,87,91,2.53,RU,1681159654
labuhan,-6.8844,112.2051,298.01,86,96,3.28,ID,1681159735
lebu,-37.6167,-73.65,290.79,87,76,3.25,CL,1681159714
barra,-11.0894,-43.1417,302.44,50,65,3.29,BR,1681159736
maceio,-9.6658,-35.7353,301.84,78,20,5.14,BR,1681159737
port-gentil,-0.7193,8.7815,301.13,78,40,5.14,GA,1681159737
finschhafen,-6.6024,147.8681,298.59,85,100,1.0,PG,1681159737
cascais,38.6979,-9.4215,289.23,79,20,6.71,PT,1681159738
laguna,38.421,-121.4238,300.35,39,0,0.0,US,1681159580
iskateley,67.6803,53.1512,273.1,97,100,7.7,RU,1681159739
mar del plata,-38.0023,-57.5575,290.98,76,100,6.69,AR,1681159740
odweyne,9.4092,45.064,298.71,52,25,4.47,SO,1681159740
manakara,-22.1333,48.0167,295.13,93,12,1.58,MG,1681159740
kruisfontein,-34.0033,24.7314,286.49,67,7,11.16,ZA,1681159741
hobart,-42.8794,147.3294,285.07,89,75,4.12,AU,1681159504
souillac,-20.5167,57.5167,298.36,94,75,1.54,MU,1681159667
port hardy,50.6996,-127.4199,283.25,71,100,5.14,CA,1681159669
cedar city,37.6775,-113.0619,295.04,17,0,0.0,US,1681159743
airai,-8.9266,125.4092,288.53,94,73,1.08,TL,1681159743
lagoa,39.05,-27.9833,289.05,82,74,4.71,PT,1681159667
san cristobal,7.7669,-72.225,300.25,49,95,2.51,VE,1681159745
anadyr,64.75,177.4833,255.43,60,0,5.0,RU,1681159745
avarua,-21.2078,-159.775,300.18,65,27,3.6,CK,1681159746
samana,19.2056,-69.3369,306.27,62,40,4.12,DO,1681159747
svetlogorsk,52.6333,29.7333,283.47,65,98,0.99,BY,1681159747
lago da pedra,-4.3333,-45.1667,297.14,96,100,1.91,BR,1681159748
nanortalik,60.1432,-45.2371,274.27,94,100,1.5,GL,1681159748
shelabolikha,53.4131,82.6167,276.98,60,17,6.94,RU,1681159749
georgetown,5.4112,100.3354,300.11,94,20,1.54,MY,1681159506
qaanaaq,77.484,-69.3632,251.01,80,0,0.66,GL,1681159750
teguldet,57.3064,88.1667,273.98,81,96,5.39,RU,1681159666
ha tinh,18.3333,105.9,295.83,96,73,0.79,VN,1681159751
tual,-5.6667,132.75,301.66,73,93,2.73,ID,1681159674
pouembout,-21.1333,164.9,299.66,68,2,0.78,NC,1681159694
andenes,69.3143,16.1194,276.14,87,20,7.72,NO,1681159753
bathsheba,13.2167,-59.5167,301.49,69,75,8.75,BB,1681159754
clyde river,70.4692,-68.5914,255.28,78,0,4.63,CA,1681159754
port alfred,-33.5906,26.891,288.81,62,19,4.92,ZA,1681159754
new norfolk,-42.7826,147.0587,284.87,80,100,0.69,AU,1681159755
touros,-5.1989,-35.4608,299.35,80,17,4.95,BR,1681159481
manicore,-5.8092,-61.3003,302.12,79,0,2.57,BR,1681159756
taoudenni,22.6783,-3.9836,300.82,8,98,6.41,ML,1681159756
geraldton,-28.7667,114.6,292.38,68,100,3.09,AU,1681159758
tomatlan,19.9333,-105.25,306.82,25,95,5.01,MX,1681159571
padang,-0.9492,100.3543,298.05,88,98,1.49,ID,1681159760
serenje,-13.2325,30.2352,289.87,97,90,1.6,ZM,1681159760
coahuayana,18.7333,-103.6833,305.46,40,100,3.66,MX,1681159714
svetlyy,54.675,20.1347,275.18,75,9,2.86,RU,1681159761
mandalgovi,45.7625,106.2708,266.22,28,0,4.19,MN,1681159762
barcelos,41.5388,-8.6151,288.62,95,44,1.64,PT,1681159762
east london,-33.0153,27.9116,289.16,58,0,10.94,ZA,1681159763
north myrtle beach,33.816,-78.68,293.22,40,0,4.12,US,1681159512
lavrentiya,65.5833,-171.0,249.84,82,27,0.31,RU,1681159764
tagusao,9.1924,117.8141,299.12,83,100,1.25,PH,1681159765
norman wells,65.282,-126.8329,270.17,80,100,10.8,CA,1681159765
maniitsoq,65.4167,-52.9,274.92,75,46,5.52,GL,1681159766
vardo,70.3705,31.1107,276.14,87,75,9.26,NO,1681159767
kamenka,51.3223,42.7678,280.87,50,1,2.93,RU,1681159767
saint george,37.1041,-113.5841,303.39,15,0,2.24,US,1681159735
cape town,-33.9258,18.4232,291.14,60,75,1.54,ZA,1681159617
cardston,49.2,-113.3019,292.2,39,90,5.66,CA,1681159769
teya,60.3778,92.6267,269.16,97,100,1.82,RU,1681159769
carnarvon,-24.8667,113.6333,295.09,60,37,7.71,AU,1681159607
belogorsk,50.9158,128.4611,276.55,82,55,2.52,RU,1681159770
ambilobe,-13.2,49.05,296.11,94,56,1.23,MG,1681159771
porto velho,-8.7619,-63.9039,303.18,70,40,2.06,BR,1681159772
lazaro cardenas,17.9583,-102.2,303.08,53,97,4.85,MX,1681159504
ilhabela,-23.7781,-45.3581,295.62,73,27,2.2,BR,1681159773
port lincoln,-34.7333,135.8667,291.12,73,82,7.07,AU,1681159673
sudzha,51.1976,35.2726,281.08,58,14,3.01,RU,1681159774
esperance,-33.8667,121.9,289.92,70,53,11.0,AU,1681159619
kuminskiy,58.6667,66.5667,268.73,61,25,3.63,RU,1681159775
tyukhtet,56.5389,89.3011,274.55,70,92,6.21,RU,1681159776
hirado,33.3597,129.5531,286.7,77,97,7.07,JP,1681159776
honningsvag,70.9821,25.9704,276.01,93,100,7.72,NO,1681159777
benghazi,32.1167,20.0667,288.39,67,11,6.19,LY,1681159777
machico,32.7,-16.7667,293.5,52,20,7.72,PT,1681159777
fremont,37.5483,-121.9886,301.28,52,0,4.63,US,1681159600
scarborough,54.2797,-0.4044,280.81,85,48,3.13,GB,1681159663
cairns,-16.9167,145.7667,298.74,100,40,0.0,AU,1681159576
sterling,39.0062,-77.4286,293.44,25,0,2.24,US,1681159618
tasiilaq,65.6145,-37.6368,275.24,87,99,6.35,GL,1681159780
namatanai,-3.6667,152.4333,298.9,84,100,0.74,PG,1681159780
yulara,-25.2406,130.9889,296.19,34,100,3.65,AU,1681159781
wajir,1.7471,40.0573,300.6,61,89,7.06,KE,1681159781
mabaruma,8.2,-59.7833,301.31,64,78,3.06,GY,1681159782
comodoro rivadavia,-45.8667,-67.5,286.07,54,20,5.14,AR,1681159649
grand-santi,4.25,-54.3833,300.41,75,71,2.14,GF,1681159783
waingapu,-9.6567,120.2641,297.87,88,100,2.9,ID,1681159783
bar-le-duc,48.75,5.1667,284.36,97,100,6.56,FR,1681159784
kaeo,-35.1,173.7833,290.0,97,23,3.85,NZ,1681159784
general roca,-39.0333,-67.5833,286.27,60,100,3.02,AR,1681159785
zhigansk,66.7697,123.3711,242.59,94,33,1.89,RU,1681159785
bartica,6.4,-58.6167,305.33,57,96,3.0,GY,1681159786
nabire,-3.3667,135.4833,297.59,90,85,1.39,ID,1681159787
provideniya,64.3833,-173.3,256.21,60,0,0.0,RU,1681159787
tokur,53.1333,132.9,269.84,93,100,1.59,RU,1681159787
soe,-9.8607,124.284,291.24,91,40,2.08,ID,1681159788
baiyin,36.5583,104.2081,279.06,30,0,1.21,CN,1681159788
constitucion,-35.3333,-72.4167,291.25,81,100,4.59,CL,1681159692
narsaq,60.9167,-46.05,281.27,58,95,5.48,GL,1681159789
manubul,5.4732,120.7986,300.55,77,85,4.04,PH,1681159789
ahuimanu,21.4447,-157.8378,299.99,70,40,7.2,US,1681159790
mitu,1.1983,-70.1733,300.76,73,100,0.17,CO,1681159714
vancouver,49.2497,-123.1193,283.7,80,100,3.09,CA,1681158947
viedma,-40.8135,-62.9967,287.31,53,100,6.82,AR,1681159791
lorengau,-2.0226,147.2712,298.53,87,100,2.15,PG,1681159792
barrow,71.2906,-156.7887,256.16,71,100,6.69,US,1681159792
inongo,-1.95,18.2667,296.58,91,82,2.17,CD,1681159792
alugan,12.2188,125.4808,296.48,96,100,6.92,PH,1681159793
kununurra,-15.7667,128.7333,298.14,94,90,3.09,AU,1681159793
kutum,14.2,24.6667,300.59,11,47,3.72,SD,1681159794
voh,-20.9667,164.7,299.69,67,1,0.79,NC,1681159794
miraflores,19.2167,-98.8083,295.57,44,100,1.84,MX,1681159795
cua,10.1589,-66.8858,307.23,35,71,1.51,VE,1681159795
saint anthony,45.0205,-93.218,295.09,26,0,2.57,US,1681159796
henties bay,-22.116,14.2845,287.12,80,0,2.14,NA,1681159796
pachperwa,27.5167,82.65,296.59,20,5,3.4,IN,1681159796
chara,56.9064,118.2631,264.04,79,100,5.25,RU,1681159797
palmer,42.1584,-72.3287,292.69,13,0,2.57,US,1681159592
soltsy,58.1239,30.3238,280.13,74,79,1.08,RU,1681159798
kahului,20.8947,-156.47,300.16,66,40,8.75,US,1681159627
ayna,-12.65,-73.9167,293.44,73,71,1.79,PE,1681159798
lukovetskiy,64.2956,41.9211,272.1,94,99,1.8,RU,1681159799
vankleek hill,45.5168,-74.6493,290.03,66,34,6.33,CA,1681159799
tahoua,14.8888,5.2692,308.14,10,84,4.12,NE,1681159800
klaksvik,62.2266,-6.589,279.66,91,100,11.43,FO,1681159800
maldonado,-34.6667,-54.9167,296.81,74,33,3.03,UY,1681159801
at-bashi,41.1702,75.8106,276.11,97,100,1.54,KG,1681159802
srednekolymsk,67.45,153.6833,251.42,89,82,2.63,RU,1681159802
cabo san lucas,22.8909,-109.9124,301.82,32,75,4.12,MX,1681159521
kanniyakumari,8.0833,77.5667,301.07,80,2,6.45,IN,1681159803
ola,59.5833,151.2833,264.53,76,97,3.76,RU,1681159804
jamestown,42.097,-79.2353,290.95,14,0,2.57,US,1681159804
kenai,60.5544,-151.2583,269.2,81,100,1.54,US,1681159805
hualmay,-11.0964,-77.6139,299.32,73,51,5.3,PE,1681159806
xinzhou,38.4092,112.7333,281.02,31,68,1.32,CN,1681159808
sur,22.5667,59.5289,299.41,65,34,2.4,OM,1681159808
darlington,54.5243,-1.5504,281.29,78,20,5.66,GB,1681159809
butaritari,3.0707,172.7902,300.38,82,85,5.72,KI,1681159619
camacha,33.0833,-16.3333,289.83,77,20,3.09,PT,1681159673
tocopilla,-22.092,-70.1979,296.25,68,17,3.95,CL,1681159661
makakilo city,21.3469,-158.0858,299.33,65,75,6.69,US,1681159811
kaitangata,-46.2817,169.8464,286.45,98,100,1.96,NZ,1681159617
beringovskiy,63.05,179.3167,259.2,82,99,7.48,RU,1681159812
nome,64.5011,-165.4064,250.19,77,0,0.0,US,1681159792
livingstonia,-10.606,34.1063,291.86,87,79,0.77,MW,1681159813
iki-burul,45.8208,44.6472,283.75,67,95,5.33,RU,1681159814
kachug,53.9606,105.8817,260.32,90,25,0.86,RU,1681159814
baghmara,23.795,86.2085,300.88,14,0,1.94,IN,1681159814
saint-augustin,51.226,-58.6502,276.81,73,83,4.45,CA,1681159815
eureka,40.8021,-124.1637,299.12,79,81,4.47,US,1681159815
chokurdakh,70.6333,147.9167,250.43,88,99,3.21,RU,1681159816
dindori,22.95,81.0833,297.06,20,4,1.07,IN,1681159816
dekar,-21.5333,21.9333,291.87,79,73,1.95,BW,1681159817
leopold,-38.1833,144.4667,285.27,92,100,3.6,AU,1681159818
sao filipe,14.8961,-24.4956,295.32,68,51,3.78,CV,1681159819
adeje,28.1227,-16.726,299.64,52,0,11.83,ES,1681159819
hamina,60.5697,27.1979,277.75,99,71,2.41,FI,1681159820
tautira,-17.7333,-149.15,299.94,79,99,4.72,PF,1681159820
lompoc,34.6391,-120.4579,299.83,69,20,2.24,US,1681159613
karratha,-20.7377,116.8463,298.49,41,99,5.22,AU,1681159821
talcahuano,-36.7167,-73.1167,292.97,83,75,1.54,CL,1681159815
nautla,20.2167,-96.7833,299.44,71,96,4.18,MX,1681159572
matara,5.9485,80.5353,297.79,85,40,4.7,LK,1681159822
chuy,-33.6971,-53.4616,294.11,77,23,3.96,UY,1681159661
cockburn town,21.4612,-71.1419,299.38,71,80,4.1,TC,1681159581
alofi,-19.0595,-169.9187,298.09,94,75,5.66,NU,1681159824
myslenice,49.8338,19.9383,279.9,93,21,1.63,PL,1681159824
talnakh,69.4865,88.3972,244.93,97,86,1.0,RU,1681159825
cherskiy,68.75,161.3,253.2,77,3,1.57,RU,1681159825
paamiut,61.994,-49.6678,273.07,91,92,4.32,GL,1681159826
wunsiedel,50.0333,12.0167,282.19,58,100,4.92,DE,1681159826
qaqortoq,60.7167,-46.0333,278.22,51,86,6.38,GL,1681159827
necochea,-38.5473,-58.7368,287.28,62,69,6.21,AR,1681159827
cayenne,4.9333,-52.3333,300.17,83,40,3.09,GF,1681159828
balkanabat,39.5108,54.3671,291.78,41,60,4.15,TM,1681159828
ribeira grande,38.5167,-28.7,290.37,88,40,5.36,PT,1681159828
hambantota,6.1241,81.1185,299.04,80,29,5.43,LK,1681159829
filingue,14.3521,3.3168,306.41,11,100,5.58,NE,1681159829
latung,5.5,120.8833,300.54,77,82,3.76,PH,1681159830
aguimes,27.9054,-15.4461,294.5,49,0,9.77,ES,1681159830
najran,17.4924,44.1277,293.51,67,0,2.84,SA,1681159831
vaini,-21.2,-175.2,301.24,78,20,4.12,TO,1681159832
dingle,10.9995,122.6711,297.48,83,100,2.35,PH,1681159647
abu samrah,35.3029,37.1841,292.38,57,100,8.93,SY,1681159833
yumen,40.2833,97.2,278.82,26,4,2.08,CN,1681159833
banda aceh,5.5577,95.3222,299.08,84,84,1.05,ID,1681159625
macamic,48.7502,-78.9996,278.52,97,100,3.51,CA,1681159834
itarema,-2.9248,-39.9167,297.7,92,100,2.92,BR,1681159834
yar-sale,66.8333,70.8333,247.87,96,73,3.44,RU,1681159835
limanowa,49.7059,20.422,277.88,94,68,1.48,PL,1681159835
hofn,64.2539,-15.2082,277.74,92,100,6.2,IS,1681159836
ziarat,30.3823,67.7282,284.74,41,36,0.59,PK,1681159836
port blair,11.6667,92.75,300.27,76,55,0.69,IN,1681159837
tiksi,71.6872,128.8694,244.45,100,70,1.13,RU,1681159837
port elizabeth,-33.918,25.5701,289.31,78,0,8.75,ZA,1681159838
novyy urgal,51.0736,132.5642,277.66,80,100,2.53,RU,1681159838
ketchikan,55.3422,-131.6461,280.41,65,100,5.66,US,1681159839
asyut,27.181,31.1837,297.25,46,100,8.54,EG,1681159840
rio grande,-32.035,-52.0986,299.21,82,76,4.74,BR,1681159840
varazdin,46.3044,16.3378,280.31,63,2,0.76,HR,1681159840
tongliao,43.6125,122.2653,280.21,18,31,7.5,CN,1681159841
flinders,-34.5833,150.8552,285.96,73,60,2.24,AU,1681159634
puerto quijarro,-17.7833,-57.7667,299.11,87,84,0.27,BO,1681159842
olafsvik,64.8945,-23.7142,278.16,85,100,4.84,IS,1681159665
bubaque,11.2833,-15.8333,298.01,72,38,6.97,GW,1681159843
nichinan,31.6,131.3667,285.97,77,99,1.88,JP,1681159843
havoysund,70.9963,24.6622,276.28,91,100,6.09,NO,1681159844
angoram,-4.0625,144.0661,296.56,98,100,0.35,PG,1681159844
iqaluit,63.7506,-68.5145,256.0,71,40,1.03,CA,1681159644
baturyn,51.3457,32.8779,281.33,70,9,2.76,UA,1681159845
ashqelon,31.6693,34.5715,294.09,91,9,6.4,IL,1681159846
safaga,26.7292,33.9365,298.05,64,97,6.22,EG,1681159846
broome,42.2506,-75.833,292.09,18,0,2.06,US,1681159847
san antonio,29.4241,-98.4936,297.1,74,100,1.54,US,1681159576
zhengjiatun,43.5064,123.5064,279.91,26,63,3.0,CN,1681159847
okhotsk,59.3833,143.3,258.52,67,0,8.82,RU,1681159848
kaoma,-14.7833,24.8,293.52,70,91,1.36,ZM,1681159848
ixtapa,20.7,-105.2,298.72,78,75,5.14,MX,1681159613
kavieng,-2.5744,150.7967,299.71,82,100,3.8,PG,1681159850
shitanjing,39.2342,106.3439,276.94,16,75,1.59,CN,1681159850
sept-iles,50.2001,-66.3821,283.15,47,75,8.23,CA,1681159851
salta,-24.7859,-65.4117,298.48,66,40,4.63,AR,1681159851
hongjiang,27.11,109.9956,291.56,95,51,0.84,CN,1681159852
killam,52.7834,-111.8518,284.12,30,95,3.09,CA,1681159852
bethel,41.3712,-73.414,293.5,21,0,4.12,US,1681159853
almaznyy,48.0448,40.045,281.9,68,100,4.94,RU,1681159853
bandarbeyla,9.4942,50.8122,300.77,77,45,4.24,SO,1681159854
kurumkan,54.3,110.3,261.56,74,65,3.06,RU,1681159854
lubao,14.9167,120.55,299.99,87,98,2.08,PH,1681159854
katobu,-4.9408,122.5276,296.9,93,61,1.47,ID,1681159855
newport,51.5877,-2.9984,283.4,81,1,10.52,GB,1681159855
praia da vitoria,38.7333,-27.0667,291.29,77,20,4.2,PT,1681159856
sisimiut,66.9395,-53.6735,270.29,89,34,5.3,GL,1681159856
sydney,-33.8679,151.2073,285.53,71,20,6.69,AU,1681159776
vanavara,60.34,102.2797,258.5,96,97,2.14,RU,1681159857
mount isa,-20.7333,139.5,285.02,76,82,0.0,AU,1681159857
oranjestad,12.524,-70.027,303.12,80,40,10.29,AW,1681159818
ust-nera,64.5667,143.2,251.12,100,99,1.01,RU,1681159858
marapanim,-0.7175,-47.6997,298.64,93,100,1.47,BR,1681159859
bilibino,68.0546,166.4372,252.56,88,7,1.91,RU,1681159859
gornopravdinsk,60.05,69.9,262.93,88,100,4.39,RU,1681159860
sitka,57.0531,-135.33,279.09,49,75,4.63,US,1681159836
huaicheng,23.9051,112.1931,292.83,98,100,0.5,CN,1681159861
mao,39.8885,4.2658,285.46,94,0,0.51,ES,1681159861
pacific grove,36.6177,-121.9166,297.25,76,0,3.09,US,1681159862
oussouye,12.485,-16.5469,299.25,69,11,5.79,SN,1681159862
laurens,32.4502,-82.9165,293.88,38,0,5.14,US,1681159863
teguise,29.0605,-13.564,294.27,40,0,8.23,ES,1681159864
gerede,40.8008,32.1969,275.7,96,100,1.43,TR,1681159864
san juan,-31.5375,-68.5364,302.8,32,15,3.2,AR,1681159732
sairang,23.8,92.6667,293.93,54,0,1.45,IN,1681159865
redlands,34.0556,-117.1825,305.97,25,0,1.34,US,1681159866
miles city,46.4083,-105.8406,297.69,23,0,5.66,US,1681159866
grafton,42.207,-71.6856,292.78,15,0,4.12,US,1681159867
milkovo,54.7167,158.6167,272.74,99,100,1.45,RU,1681159867
winnemucca,40.973,-117.7357,299.18,17,0,5.66,US,1681159632
kyren,51.6828,102.1408,264.6,64,3,1.12,RU,1681159868
manggar,-2.8833,108.2667,298.8,84,100,2.52,ID,1681159869
katherine,-14.4667,132.2667,297.33,94,19,1.54,AU,1681159871
votkinsk,57.0486,53.9872,273.02,72,18,2.47,RU,1681159871
luderitz,-26.6481,15.1594,290.13,45,0,7.6,NA,1681159640
hutchinson,38.0608,-97.9298,300.12,21,0,4.63,US,1681159759
ilebo,-4.3167,20.5833,295.84,94,94,0.84,CD,1681159873
rundu,-17.9333,19.7667,294.65,61,100,1.75,NA,1681159874
robertsport,6.7533,-11.3686,300.06,85,96,3.36,LR,1681159875
vilyuysk,63.7553,121.6247,252.45,99,100,1.09,RU,1681159875
broken hill,-31.95,141.4333,284.73,60,6,2.71,AU,1681159876
bereda,43.2686,-7.5406,286.56,94,100,1.11,ES,1681159876
sorkjosen,69.8,20.9333,273.49,88,24,2.68,NO,1681159877
muros,42.7762,-9.0603,288.76,92,100,1.67,ES,1681159877
leninskoye,41.7589,69.3864,283.23,73,23,0.85,KZ,1681159878
marsh harbour,26.5412,-77.0636,296.11,77,100,13.12,BS,1681159878
hihya,30.6713,31.588,287.39,86,73,3.2,EG,1681159879
marawi,7.9986,124.2928,292.03,91,98,0.52,PH,1681159700
aklavik,68.2191,-135.0107,261.15,72,100,5.66,CA,1681159880
chebenki,51.9337,55.7077,276.01,52,0,2.09,RU,1681159880
nema,57.5067,50.5011,271.92,87,25,1.59,RU,1681159881
port hedland,-20.3167,118.5667,297.18,46,96,3.09,AU,1681159881
bonavista,48.6499,-53.1147,272.82,87,21,2.01,CA,1681159882
fort nelson,58.8053,-122.7002,281.92,25,75,8.75,CA,1681159603
ukiah,39.1502,-123.2078,298.95,38,0,3.6,US,1681159684
mincivan,39.0294,46.7185,285.27,77,100,0.89,AZ,1681159883
asadabad,34.7824,48.1185,286.12,40,100,1.98,IR,1681159884
avera,33.194,-82.5271,292.9,38,100,5.37,US,1681159884
cugir,45.8333,23.3667,280.93,88,100,0.74,RO,1681159884
jaranwala,31.3333,73.4333,296.6,28,0,2.45,PK,1681159885
peterhead,57.5058,-1.7981,281.18,73,97,5.9,GB,1681159885
areosa,41.7178,-8.8571,286.72,93,51,2.95,PT,1681159887
miyang,24.4042,103.4428,289.57,41,0,1.24,CN,1681159887
christchurch,-43.5333,172.6333,288.33,74,97,2.57,NZ,1681159639
zhezkazgan,47.8043,67.7144,282.2,43,92,3.8,KZ,1681159888
mehamn,71.0357,27.8492,276.12,100,75,7.72,NO,1681159889
balaipungut,1.05,101.2833,296.85,93,78,0.23,ID,1681159889
los llanos de aridane,28.6585,-17.9182,293.01,64,0,6.69,ES,1681159890
gallup,35.5281,-108.7426,297.06,14,0,5.14,US,1681159738
devonport,-41.1667,146.35,282.64,81,81,2.59,AU,1681159890
birjand,32.8663,59.2211,287.41,26,0,2.06,IR,1681159891
san vicente,-26.6167,-54.1333,296.02,64,92,1.03,AR,1681159891
quatre cocos,-20.2078,57.7625,298.21,84,100,3.15,MU,1681159892
turukhansk,65.8167,87.9833,254.74,90,100,2.55,RU,1681159892
soyo,-6.1349,12.3689,299.83,82,100,1.64,AO,1681159892
le vauclin,14.5452,-60.8388,302.18,54,20,7.2,MQ,1681159893
liwonde,-15.0506,35.2035,294.38,92,34,0.85,MW,1681159893
pokhvistnevo,53.6524,52.1274,278.91,66,10,2.61,RU,1681159894
abu kamal,34.4506,40.9171,293.69,49,93,2.98,SY,1681159894
nantucket,41.2835,-70.0995,286.23,69,0,8.23,US,1681159895
buraydah,26.326,43.975,291.4,59,100,6.5,SA,1681159895
tanabe,33.7333,135.3667,287.54,84,85,2.77,JP,1681159895
karymskoye,51.6167,114.35,265.97,60,100,10.05,RU,1681159896
donskoye,45.4552,41.9741,284.22,63,100,7.51,RU,1681159896
korgen,66.0771,13.8153,278.33,86,29,3.79,NO,1681159897
santa rosa,14.3122,121.1114,299.88,78,86,2.39,PH,1681159897
oranjemund,-28.55,16.4333,287.51,78,0,7.47,NA,1681159898
kokopo,-4.352,152.2633,297.23,90,100,1.21,PG,1681159898
udachnyy,66.4167,112.4,240.3,99,64,2.32,RU,1681159899
riihimaki,60.7377,24.7773,275.43,69,100,1.43,FI,1681159900
